,Budget,Linear/Normal,Mean cost,Mean points,Mean 50 best p,Mean 50 worst p,Ratio points/costs
0,600,Linear: 1,598,680,1180,222,1.137
1,600,Normal,596,646,1157,171,1.085
2,650,Linear: 1,643,808,1347,302,1.255
3,650,Normal,641,771,1281,267,1.204
4,700,Linear: 1,697,882,1474,308,1.265
5,700,Normal,690,861,1422,315,1.247
6,750,Linear: 4,745,903,1465,380,1.212
7,750,Normal,739,891,1478,338,1.206
8,800,Linear: 6,791,1035,1548,535,1.308
9,800,Normal,790,992,1535,432,1.257
10,850,Linear: 6,842,1190,1712,701,1.413
11,850,Normal,843,1116,1706,546,1.325
12,900,Linear: 8,889,1358,1846,877,1.526
13,900,Normal,893,1237,1791,707,1.385
14,950,Linear: 7,938,1460,1968,945,1.556
15,950,Normal,941,1364,1933,823,1.45
16,1000,Linear: 6,988,1586,2075,1101,1.605
17,1000,Normal,989,1519,2002,1073,1.537
