,Budget,Best total cost,Best total points,Sorted individual costs,Individual costs
0,500,500,1260,"[41, 42, 43, 43, 44, 45, 45, 46, 50, 50, 51]","[51, 50, 50, 45, 45, 46, 43, 44, 42, 43, 41]"
1,550,550,1462,"[42, 43, 45, 45, 46, 50, 50, 51, 52, 62, 64]","[62, 64, 51, 52, 50, 50, 45, 45, 46, 43, 42]"
2,600,598,1608,"[43, 45, 45, 50, 50, 51, 52, 62, 64, 67, 69]","[67, 62, 69, 64, 51, 52, 50, 50, 45, 45, 43]"
3,650,650,1735,"[45, 45, 50, 50, 51, 58, 62, 64, 67, 69, 89]","[89, 67, 62, 69, 64, 58, 51, 50, 50, 45, 45]"
4,700,698,1843,"[45, 50, 51, 52, 58, 62, 64, 67, 69, 89, 91]","[91, 89, 67, 62, 69, 64, 58, 51, 52, 50, 45]"
5,750,750,1944,"[45, 45, 50, 51, 62, 64, 67, 69, 89, 91, 117]","[117, 91, 89, 67, 62, 69, 64, 51, 50, 45, 45]"
6,800,797,2033,"[45, 51, 62, 64, 67, 68, 69, 74, 89, 91, 117]","[117, 91, 89, 74, 67, 62, 69, 64, 68, 51, 45]"
7,850,847,2113,"[51, 58, 62, 64, 67, 69, 74, 89, 91, 105, 117]","[117, 91, 105, 89, 74, 67, 62, 69, 64, 58, 51]"
8,900,898,2189,"[51, 62, 67, 69, 72, 74, 89, 91, 101, 105, 117]","[117, 91, 105, 101, 89, 74, 67, 62, 69, 72, 51]"
9,950,945,2239,"[51, 62, 67, 69, 74, 89, 91, 101, 105, 117, 119]","[117, 91, 119, 105, 101, 89, 74, 67, 62, 69, 51]"
10,1000,999,2289,"[62, 67, 69, 74, 89, 91, 101, 105, 105, 117, 119]","[117, 91, 119, 105, 101, 89, 105, 74, 67, 62, 69]"
