,Budget,Linear/Normal,Mean cost,Mean points,Mean 50 best p,Mean 50 worst p,Ratio points/costs
0,600,Linear: 1,598,758,1291,289,1.268
1,600,Normal,596,754,1280,279,1.266
2,650,Linear: 1,643,890,1434,332,1.382
3,650,Normal,641,889,1414,373,1.387
4,700,Linear: 1,697,1157,1701,560,1.659
5,700,Normal,690,1007,1528,476,1.459
6,750,Linear: 4,745,1122,1620,609,1.506
7,750,Normal,739,1137,1661,610,1.538
8,800,Linear: 6,790,1056,1604,523,1.336
9,800,Normal,790,1176,1661,662,1.489
10,850,Linear: 6,844,1218,1760,655,1.443
11,850,Normal,842,1237,1752,690,1.469
12,900,Linear: 8,889,1356,1798,905,1.524
13,900,Normal,893,1300,1806,751,1.457
14,950,Linear: 7,939,1474,1958,978,1.569
15,950,Normal,941,1365,1905,810,1.45
16,1000,Linear: 6,990,1558,2056,1046,1.573
17,1000,Normal,991,1489,2004,948,1.502
